기간	자치구별	구분	합계	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
2018	마포구	부상자수	2,429	229	217	178	181	193	215	228	185	227	202	203	171
2018	양천구	발생건수	1,428	114	106	128	115	137	130	125	123	87	140	113	110
2018	양천구	사망자수	11	-	1	1	-	1	1	1	-	1	1	3	1
2018	양천구	부상자수	1,939	179	140	171	141	201	180	166	176	112	181	141	151
2018	강서구	발생건수	1,502	134	134	109	124	103	131	115	141	116	122	146	127
2018	강서구	사망자수	11	3	-	-	-	1	2	-	2	1	-	-	2
2018	강서구	부상자수	2,208	210	177	164	206	155	189	173	228	169	156	208	173
2018	구로구	발생건수	1,532	103	118	124	114	137	126	148	117	142	147	128	128
2018	구로구	사망자수	13	3	1	-	1	-	-	1	1	1	-	2	3
2018	구로구	부상자수	2,129	162	182	167	159	176	177	206	150	209	195	179	167
2018	금천구	발생건수	932	75	70	88	93	89	60	84	70	72	81	80	70
2018	금천구	사망자수	6	1	-	-	1	-	-	2	-	-	-	2	-
2018	금천구	부상자수	1,326	118	104	124	114	123	80	106	103	106	110	146	92
2018	영등포구	발생건수	2,493	222	185	193	197	196	221	195	223	221	207	220	213
2018	영등포구	사망자수	22	2	3	2	1	2	1	2	3	1	3	2	-
2018	영등포구	부상자수	3,532	316	261	274	269	277	309	283	310	325	279	313	316
2018	동작구	발생건수	1,412	92	109	89	133	125	133	110	134	122	126	113	126
2018	동작구	사망자수	9	1	2	-	3	1	1	1	-	-	-	-	-
2018	동작구	부상자수	1,892	109	148	126	179	176	179	150	169	167	174	144	171
2018	관악구	발생건수	1,300	102	108	107	113	119	100	107	115	103	106	115	105
2018	관악구	사망자수	8	1	-	2	-	-	-	-	3	1	-	-	1
2018	관악구	부상자수	1,717	130	138	139	148	155	126	148	161	144	149	144	135
2018	서초구	발생건수	2,478	229	187	227	180	203	185	208	200	210	213	223	213
2018	서초구	사망자수	18	1	2	1	1	3	-	1	1	4	-	2	2
2018	서초구	부상자수	3,640	321	297	331	246	310	271	312	296	287	313	337	319
2018	강남구	발생건수	3,459	316	249	278	283	288	288	326	301	249	297	292	292
2018	강남구	사망자수	20	1	1	3	1	-	-	2	3	2	2	2	3
2018	강남구	부상자수	4,967	456	369	393	411	404	436	427	438	356	403	447	427
2018	송파구	발생건수	2,860	224	191	212	265	266	248	288	220	202	273	236	235
2018	송파구	사망자수	27	4	2	2	4	2	2	5	2	-	1	3	-
2018	송파구	부상자수	3,932	320	266	290	365	352	336	396	309	283	364	333	318
2018	강동구	발생건수	1,418	85	100	118	124	123	119	124	120	121	138	114	132
2018	강동구	사망자수	12	1	1	2	2	1	-	2	-	-	-	3	-
2018	강동구	부상자수	1,922	101	136	157	152	190	178	171	161	159	189	135	193
